
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,153.77,153.77,153.77,0,153.77,153.77,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,55.4231,55.4231,55.4231,0.00324664,55.4231,55.4231,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.872992,0.872992,0.872992,0.000148878,0.872992,0.872992,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,32,32,32,0,32,32,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-129.845,-129.845,-129.845,0.00649207,-129.845,-129.845,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,54.9788,54.9788,54.9788,0,54.9788,54.9788,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,48.8692,48.8692,48.8692,0.0101837,48.8692,48.8692,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,9.74508,9.74508,9.74508,0,9.74508,9.74508,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,104.11,104.11,104.11,0.021635,104.11,104.11,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,5.77377,5.77377,5.77377,0.00137705,5.77377,5.77377,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.942752,0.942752,0.942752,5.31684e-05,0.942752,0.942752,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,34.4114,34.4114,34.4114,0.00550502,34.4114,34.4114,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),344.844,344.844,344.844,0.0578067,344.844,344.844,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,33.9951,33.9951,33.9951,0,33.9951,33.9951,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,40.9001,40.9001,40.9001,0,40.9001,40.9001,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,10.862,10.862,10.862,0,10.862,10.862,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,5.66291,5.66291,5.66291,0,5.66291,5.66291,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,9.01201,9.01201,9.01201,0,9.01201,9.01201,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,52.9689,52.9689,52.9689,0,52.9689,52.9689,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),153.77,153.77,153.77,0,153.77,153.77,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),55.4231,55.4231,55.4231,0.00324664,55.4231,55.4231,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),34.4114,34.4114,34.4114,0.00550502,34.4114,34.4114,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,76.1508,76.1508,76.1508,0.00601575,76.1508,76.1508,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),123.803,123.803,123.803,0,123.803,123.803,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.964912,0.184002,1,55,57,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,746,746,746,0,746,746,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.962963,0.188853,1,52,54,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,11,11,11,0,11,11,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,55,55,55,0,55,55,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,44,44,44,0,44,44,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,747,747,747,0,747,747,1,,Filament,,,,,,,,1,,
Filament Position X,56.3504,56.3504,56.3504,0.0105371,56.3504,56.3504,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,50.3526,50.3526,50.3526,0,50.3526,50.3526,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,9.39101,9.39101,9.39101,0.00102014,9.39101,9.39101,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),191.074,191.074,191.074,0,191.074,191.074,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),68.3802,68.3802,68.3802,0,68.3802,68.3802,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),36.6147,36.6147,36.6147,0.000693132,36.6147,36.6147,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
